group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_4467a039e00b,PS_050,PS_042,SplineRidge,CS4_R9,True,,819,603,20,0.7362637362637363,0.5784805275263192,6,0.0488447211986543,0.062075354603011286,-0.013230633404356984,-0.21313826540291989,True
TW_4467a039e00b,PS_050,PS_043,SplineRidge,CS4_R9,True,,791,472,20,0.5967130214917825,0.5784805275263192,6,0.0557370635724926,0.07578996863173108,-0.020052905059238485,-0.26458521386487166,True
TW_4467a039e00b,PS_050,PS_044,SplineRidge,CS4_R9,True,,835,631,21,0.755688622754491,0.5784805275263192,6,0.08361943557961568,0.07907478039311665,0.004544655186499033,0.05747287774819592,True
TW_4467a039e00b,PS_050,PS_045,SplineRidge,CS4_R9,True,,732,573,20,0.7827868852459017,0.5784805275263192,6,0.04571184125331167,0.04465647092830641,0.0010553703250052657,0.023633088398310888,True
TW_4467a039e00b,PS_050,PS_046,SplineRidge,CS4_R9,True,,570,536,16,0.9403508771929825,0.5784805275263192,6,0.06741836140122755,0.0668971079540698,0.0005212534471577407,0.007791868185327573,True
TW_4467a039e00b,PS_050,PS_047,SplineRidge,CS4_R9,True,,576,502,17,0.8715277777777778,0.5784805275263192,6,0.08493243973535153,0.12193278179028344,-0.03700034205493191,-0.3034486830503886,True
TW_4467a039e00b,PS_050,PS_048,SplineRidge,CS4_R9,True,,739,156,18,0.21109607577807848,0.5784805275263192,6,0.047038610571184206,0.03771804189401225,0.009320568677171959,0.24711167942818374,True
TW_4467a039e00b,PS_050,PS_049,SplineRidge,CS4_R9,True,,710,568,18,0.8,0.5784805275263192,6,0.0625143163118665,0.05875173680973344,0.0037625795021330663,0.0640420131632554,True
TW_4467a039e00b,PS_050,PS_051,SplineRidge,CS4_R9,True,,747,404,19,0.5408299866131191,0.5784805275263192,6,0.06946601665672453,0.06181544222875671,0.007650574427967814,0.1237647770868611,True
TW_4467a039e00b,PS_051,PS_042,SplineRidge,CS4_R9,True,,819,201,20,0.2454212454212454,0.5040168921534446,6,0.039873460273214055,0.047609781108146274,-0.0077363208349322185,-0.16249435840419135,True
