replicate_id,rho_abs,valid_abs,reason_abs,rho_rel,valid_rel,reason_rel
442,-0.5080525778458397,True,,-0.5048238897396631,True,
443,-0.35748115860859825,True,,-0.4017264680457307,True,
444,-0.12816045380875202,True,,-0.11173014586709887,True,
445,-0.15470333033986416,True,,-0.18303588368474974,True,
446,-0.2615745491863363,True,,-0.30420759419439963,True,
447,-0.016326584310165634,True,,-0.008248806093854836,True,
448,-0.16866391081794982,True,,-0.21461296243788147,True,
449,-0.43758652147008353,True,,-0.4241003361977123,True,
450,-0.29222846658495033,True,,-0.3243599528203705,True,
451,-0.31685278322393656,True,,-0.34529999878222534,True,
452,0.018185312417421384,True,,0.011699137578975184,True,
453,-0.42743577314590403,True,,-0.5137531397347199,True,
454,-0.4515844723029769,True,,-0.4538733737618227,True,
455,-0.44296608422836464,True,,-0.4449355348432455,True,
456,-0.05598303751581683,True,,-0.071303990971581,True,
457,-0.6099197959663076,True,,-0.6240142286653915,True,
458,-0.2791942249280088,True,,-0.2771955661332527,True,
459,-0.23078090612430752,True,,-0.2735827578356227,True,
460,-0.35386610471713403,True,,-0.39328902577403146,True,
