group_id,source_plant_id,target_plant_id,model_family,analysis_role,support_rule,n_supported,n_supported_days,support_retention,transfer_mae,transfer_rmse,transfer_r2,transfer_bias,local_same_rows_mae,local_same_rows_rmse,local_same_rows_r2,local_same_rows_bias
TW_4467a039e00b,PS_042,PS_051,HistGradientBoosting,r1_frozen_input,CS4,535,18,0.7161981258366801,0.08322102190127921,0.15228648878970047,0.7596417078581107,-0.014414288807146496,0.0651999415749234,0.15503955316437978,0.7508726670340542,0.023145265758585425
TW_4467a039e00b,PS_042,PS_051,SplineRidge,primary,CS4,535,18,0.7161981258366801,0.09408145658846247,0.1530237363919726,0.7573088349429152,-0.03179051510705065,0.06622993813293625,0.15063097775986917,0.7648391870241638,0.018018458685251027
TW_4467a039e00b,PS_043,PS_042,HistGradientBoosting,r1_frozen_input,CS4,211,20,0.2576312576312576,0.07631293379397991,0.10339012271704734,0.8749564538564625,-0.04272409382304253,0.04538219756707344,0.07067544362578106,0.9415694107163806,-0.015258704901110122
TW_4467a039e00b,PS_043,PS_042,SplineRidge,primary,CS4,211,20,0.2576312576312576,0.07320280781483178,0.09547092318476356,0.8933783438543148,-0.016811966568789007,0.05037894981600527,0.07527892320864232,0.9337097012181337,-0.022414335156759745
TW_4467a039e00b,PS_043,PS_044,HistGradientBoosting,r1_frozen_input,CS4,220,20,0.2634730538922156,0.1112226135788137,0.13614178514543498,0.8441751789805927,-0.045072596384739094,0.0744078544938123,0.107989152183404,0.9019575810203259,-0.02721690692748356
TW_4467a039e00b,PS_043,PS_044,SplineRidge,primary,CS4,220,20,0.2634730538922156,0.11950140220663368,0.13694815232484947,0.8423238129293599,-0.026257460500649997,0.07427694363362593,0.10204229031466455,0.9124584664703411,-0.03039860804013596
TW_4467a039e00b,PS_043,PS_045,HistGradientBoosting,r1_frozen_input,CS4,148,18,0.20218579234972678,0.0599022543576764,0.0838908718441447,0.8616148603417548,0.002433555141784476,0.04419440882538974,0.07118440895973685,0.9003608973636219,0.01754293206595814
TW_4467a039e00b,PS_043,PS_045,SplineRidge,primary,CS4,148,18,0.20218579234972678,0.06967489669765302,0.08753391927550243,0.84933485670999,0.03268696134794913,0.05447965624976115,0.07960445360381346,0.8753952000917355,0.01884872788659597
TW_4467a039e00b,PS_043,PS_046,HistGradientBoosting,r1_frozen_input,CS4,149,16,0.2614035087719298,0.06453769658395231,0.10655578373037128,0.8102008343491275,-0.02579420259794556,0.05267363502749506,0.08968526128180901,0.865543315203932,0.001872670015237194
TW_4467a039e00b,PS_043,PS_046,SplineRidge,primary,CS4,149,16,0.2614035087719298,0.07487211899233291,0.10324077349331981,0.8218266511350303,0.014737074358870847,0.06064249764575152,0.0916014541948183,0.8597364004085852,0.0063493255456721276
TW_4467a039e00b,PS_043,PS_047,HistGradientBoosting,r1_frozen_input,CS4,97,16,0.1684027777777778,0.05644526205281563,0.07394077028769513,0.8658542519146601,0.022809520109472226,0.04907824185784829,0.08215471475736065,0.8343948056117421,-0.029475707930028898
TW_4467a039e00b,PS_043,PS_047,SplineRidge,primary,CS4,97,16,0.1684027777777778,0.07971405226987535,0.09361187948265466,0.7849839396341048,0.05958445872327727,0.0492284668166138,0.08290796996345333,0.8313441019938066,-0.03214546979080687
TW_4467a039e00b,PS_043,PS_048,HistGradientBoosting,r1_frozen_input,CS4,154,18,0.2083897158322057,0.0349633867630484,0.05171143040006574,0.9040762669985767,0.005715032504946629,0.03387201246716957,0.05099736838578106,0.9067071198035731,0.020751098215713568
TW_4467a039e00b,PS_043,PS_048,SplineRidge,primary,CS4,154,18,0.2083897158322057,0.04095640257243356,0.056342909551502215,0.8861241819233537,0.02840371749483194,0.027136290959365497,0.04657340614426706,0.9221911544209553,0.010246825594433562
TW_4467a039e00b,PS_043,PS_049,HistGradientBoosting,r1_frozen_input,CS4,105,17,0.14788732394366197,0.0663334344530713,0.11521065431048445,0.7490583907628581,-0.025423946189808314,0.06140542355012932,0.1145990341004916,0.7517156722014434,-0.0041491958603364215
