group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_source_recent_half,n_target_recent_half,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,transfer_mae,local_same_rows_mae,otg_abs
TW_4467a039e00b,PS_049,PS_051,SplineRidge,CS4,True,,1065,1120,747,167,19,0.22356091030789826,0.7347847120392266,0.08800014716506016,0.05287247000187987,0.03512767716318029
TW_4467a039e00b,PS_050,PS_042,SplineRidge,CS4,True,,1261,1228,819,576,20,0.7032967032967034,0.6940363931573086,0.05616339432801216,0.07960630092485024,-0.023442906596838085
TW_4467a039e00b,PS_050,PS_043,SplineRidge,CS4,True,,1261,1185,791,160,20,0.202275600505689,0.6940363931573086,0.057133820541124404,0.06210425158295916,-0.004970431041834755
TW_4467a039e00b,PS_050,PS_044,SplineRidge,CS4,True,,1261,1252,835,599,21,0.7173652694610778,0.6940363931573086,0.09349300918484442,0.0772649747865206,0.01622803439832382
TW_4467a039e00b,PS_050,PS_045,SplineRidge,CS4,True,,1261,1098,732,539,19,0.7363387978142076,0.6940363931573086,0.050167070449192934,0.04577783033942699,0.004389240109765942
TW_4467a039e00b,PS_050,PS_046,SplineRidge,CS4,True,,1261,855,570,517,16,0.9070175438596492,0.6940363931573086,0.07020086500529397,0.06488905812406995,0.0053118068812240266
TW_4467a039e00b,PS_050,PS_047,SplineRidge,CS4,True,,1261,863,576,497,17,0.8628472222222222,0.6940363931573086,0.09359601048312514,0.12065029760348991,-0.02705428712036477
TW_4467a039e00b,PS_050,PS_048,SplineRidge,CS4,True,,1261,1108,739,93,17,0.12584573748308525,0.6940363931573086,0.052636717684109026,0.04318466920379158,0.009452048480317443
TW_4467a039e00b,PS_050,PS_049,SplineRidge,CS4,True,,1261,1065,710,584,18,0.8225352112676056,0.6940363931573086,0.05945953240778821,0.0587643492480679,0.0006951831597203084
TW_4467a039e00b,PS_050,PS_051,SplineRidge,CS4,True,,1261,1120,747,167,17,0.22356091030789826,0.6940363931573086,0.048741517432169604,0.04677975409617793,0.0019617633359916703
TW_4467a039e00b,PS_051,PS_042,SplineRidge,CS4,True,,1120,1228,819,285,20,0.34798534798534797,0.6181692209061189,0.04352743224161827,0.06611328404081945,-0.02258585179920118
TW_4467a039e00b,PS_051,PS_043,SplineRidge,CS4,True,,1120,1185,791,580,20,0.7332490518331226,0.6181692209061189,0.06817186041999407,0.08276732813388475,-0.014595467713890684
TW_4467a039e00b,PS_051,PS_044,SplineRidge,CS4,True,,1120,1252,835,249,20,0.29820359281437125,0.6181692209061189,0.10320825761207357,0.07528057204634717,0.027927685565726404
TW_4467a039e00b,PS_051,PS_045,SplineRidge,CS4,True,,1120,1098,732,196,18,0.2677595628415301,0.6181692209061189,0.0682811075693035,0.06132804703084295,0.006953060538460551
TW_4467a039e00b,PS_051,PS_046,SplineRidge,CS4,True,,1120,855,570,240,16,0.42105263157894735,0.6181692209061189,0.06931843193448198,0.0682941487159278,0.0010242832185541756
TW_4467a039e00b,PS_051,PS_047,SplineRidge,CS4,True,,1120,863,576,190,16,0.3298611111111111,0.6181692209061189,0.07116252975861367,0.06912198633396234,0.0020405434246513338
TW_4467a039e00b,PS_051,PS_048,SplineRidge,CS4,True,,1120,1108,739,97,17,0.13125845737483086,0.6181692209061189,0.03705664043308111,0.03188973112100627,0.0051669093120748355
TW_4467a039e00b,PS_051,PS_049,SplineRidge,CS4,True,,1120,1065,710,190,18,0.2676056338028169,0.6181692209061189,0.06839384985134529,0.0701326793287927,-0.0017388294774474122
TW_4467a039e00b,PS_051,PS_050,SplineRidge,CS4,True,,1120,1261,841,168,20,0.19976218787158145,0.6181692209061189,0.06133585427401099,0.06616419362343315,-0.004828339349422159
TW_88a108921af7,PS_035,PS_039,SplineRidge,CS4,True,,2442,1976,1318,656,37,0.4977238239757208,0.6044395579020004,0.06405581425611068,0.07261988712230821,-0.008564072866197536
TW_88a108921af7,PS_039,PS_035,SplineRidge,CS4,True,,1976,2442,1628,518,42,0.3181818181818182,0.5878897724376636,0.0823293877256329,0.060927197094519034,0.02140219063111387
